"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Registration","Register","Invalid Registration","0","0","3","0","0"
"","","Full Checkout Flow as Guest","0","0","1","0","0"
"User Registration","Register","Valid Registration","0","0","1","0","0"
"User Authentication","Login","Valid Login","0","0","1","0","0"
"User Authentication","Login","Invalid Login","0","0","2","0","0"
"","","Add to Cart","0","0","1","0","0"
"","","Remove from Cart","0","0","1","0","0"
"","","Update Cart Quantity","0","0","1","0","0"
"","","Full Checkout Flow as Returning Customer","0","0","1","0","0"
"","","Cart - Validation Without Terms Agreement","0","0","1","0","0"
